uuid|statusUuid|admmissinNo|streamUuid|firstname|middlename|lastname|gender|dateofbirth|birthcertificateNo|country|county|ward|regTerm|regYear|finalTerm|finalYear|studentType|studentLevel|admissiondate
4EB59171-1A34-41A9-A343-887943D5C969|B2733AB2-9CDB-4361-89C5-86B175A2E828|111|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Finn|Len|Lewis|M|19/90/31|L177737|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
BF34A72B-833A-447A-945A-00E07690F8B5|B2733AB2-9CDB-4361-89C5-86B175A2E828|112|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Chandler|Murphy|Theodore|M|19/90/31|L177738|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
C429E19B-ED25-4D0E-A0F8-A2DD6A1D07F3|B2733AB2-9CDB-4361-89C5-86B175A2E828|113|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Dean|Nathan|Eric|M|19/90/31|L177739|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
C6E316F7-5784-46A5-A2E2-12EE459E9DA5|B2733AB2-9CDB-4361-89C5-86B175A2E828|114|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Benedict|Duncan|Jared|M|19/90/31|L177740|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
99B8B96B-B7DA-4E1F-8E7E-4D29FF3D8D20|B2733AB2-9CDB-4361-89C5-86B175A2E828|115|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Keane|Baxter|Leonard|M|19/90/31|L177741|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
3C1053E1-896E-46D2-8C04-03B673EDDE08|B2733AB2-9CDB-4361-89C5-86B175A2E828|116|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Tanek|Noble|Tarik|M|19/90/31|L177742|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
2643E379-BE22-4D11-9591-F2DC02B43FC6|B2733AB2-9CDB-4361-89C5-86B175A2E828|117|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Baxter|Rajah|Grady|M|19/90/31|L177743|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
DD428EEC-C7BD-4ED0-9671-03FA8F75BB21|B2733AB2-9CDB-4361-89C5-86B175A2E828|118|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Oren|Stone|Ross|M|19/90/31|L177744|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
FA5D00B0-1DAB-4C83-97F9-0BAF30186582|B2733AB2-9CDB-4361-89C5-86B175A2E828|119|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Stewart|Cody|Erasmus|M|19/90/31|L177745|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
ED2F088A-0D1F-45F5-88DC-CB9552FD44F5|B2733AB2-9CDB-4361-89C5-86B175A2E828|120|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Ethan|Melvin|Tate|M|19/90/31|L177746|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
323556CF-3695-449E-86F4-9515CC58A267|B2733AB2-9CDB-4361-89C5-86B175A2E828|121|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Ulric|Ashton|Brandon|M|19/90/31|L177747|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
CDBCEC15-3EE0-43EF-B384-F4014E83F89D|B2733AB2-9CDB-4361-89C5-86B175A2E828|122|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Otto|Clark|Fuller|M|19/90/31|L177748|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
4F819276-09F7-4B53-99E9-65FADF75F7D2|B2733AB2-9CDB-4361-89C5-86B175A2E828|123|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Jamal|Len|Hu|M|19/90/31|L177749|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
FB769B43-B092-42E4-9936-A0716F28B25D|B2733AB2-9CDB-4361-89C5-86B175A2E828|124|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Jarrod|Keefe|Rigel|M|19/90/31|L177750|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
A058D7E4-0233-4BE7-990A-D3CB229164B5|B2733AB2-9CDB-4361-89C5-86B175A2E828|125|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Charles|Ulysses|Noah|M|19/90/31|L177751|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
1C9DD8CF-14B2-4BF2-AACC-6B6CBEB98998|B2733AB2-9CDB-4361-89C5-86B175A2E828|126|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Xenos|Colton|Dante|M|19/90/31|L177752|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
3C212576-FEB0-47B3-A3F8-71C623D38064|B2733AB2-9CDB-4361-89C5-86B175A2E828|127|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Alvin|Mannix|Howard|M|19/90/31|L177753|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
129BAE9E-BBE9-4FBA-B67E-BEE11FF3C1C6|B2733AB2-9CDB-4361-89C5-86B175A2E828|128|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Clayton|Price|Zahir|M|19/90/31|L177754|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
0E97899E-99F2-468F-86A5-9E59F7A224DC|B2733AB2-9CDB-4361-89C5-86B175A2E828|129|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Conan|Alan|Maxwell|M|19/90/31|L177755|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
55DD5463-6ECB-48A3-B6E7-03548A9E37FE|B2733AB2-9CDB-4361-89C5-86B175A2E828|130|57348359-C425-4320-9BCE-AD95D4E9A228|Plato|Keegan|Chaney|M|19/90/31|L177756|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
9981AF41-4F2D-43E7-BE85-3BE342E3DE97|B2733AB2-9CDB-4361-89C5-86B175A2E828|131|57348359-C425-4320-9BCE-AD95D4E9A228|Nehru|Abel|Forrest|M|19/90/31|L177757|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
5C7F1A91-A253-4758-A435-D6A877B2BFF7|B2733AB2-9CDB-4361-89C5-86B175A2E828|132|57348359-C425-4320-9BCE-AD95D4E9A228|Wang|Dexter|Nolan|M|19/90/31|L177758|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
0FE3F988-A852-4D70-AA60-4B0299E3BB2E|B2733AB2-9CDB-4361-89C5-86B175A2E828|133|57348359-C425-4320-9BCE-AD95D4E9A228|Robert|Justin|Harper|M|19/90/31|L177759|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
6DB8ECF2-C324-44F7-9003-D5690601D793|B2733AB2-9CDB-4361-89C5-86B175A2E828|134|57348359-C425-4320-9BCE-AD95D4E9A228|Zane|Ira|Clayton|M|19/90/31|L177760|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
5C15179F-A08E-4FCD-8F9B-C2B47DE66779|B2733AB2-9CDB-4361-89C5-86B175A2E828|135|57348359-C425-4320-9BCE-AD95D4E9A228|Anthony|Scott|Brenden|M|19/90/31|L177761|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
134296E7-1D73-4328-AA9C-F5A31084166F|B2733AB2-9CDB-4361-89C5-86B175A2E828|136|57348359-C425-4320-9BCE-AD95D4E9A228|Ali|Lionel|Hector|M|19/90/31|L177762|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
4D334ABD-7841-43A5-9E45-D8159E7E8181|B2733AB2-9CDB-4361-89C5-86B175A2E828|137|57348359-C425-4320-9BCE-AD95D4E9A228|Howard|Kane|Elton|M|19/90/31|L177763|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
A2430CE3-B846-4B53-8E52-B4FB7D7B82AD|B2733AB2-9CDB-4361-89C5-86B175A2E828|138|57348359-C425-4320-9BCE-AD95D4E9A228|Edan|Grant|Benedict|M|19/90/31|L177764|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
63676FE0-F07D-45DB-BCC9-454B1088861E|B2733AB2-9CDB-4361-89C5-86B175A2E828|139|57348359-C425-4320-9BCE-AD95D4E9A228|Preston|Howard|Perry|M|19/90/31|L177765|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
D166C4CB-D5A3-409B-9B65-0082EDE68AFE|B2733AB2-9CDB-4361-89C5-86B175A2E828|140|57348359-C425-4320-9BCE-AD95D4E9A228|Francis|Myles|Kirk|M|19/90/31|L177766|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
71012BD8-03D1-46B3-8400-9C82D7C11EB5|B2733AB2-9CDB-4361-89C5-86B175A2E828|141|57348359-C425-4320-9BCE-AD95D4E9A228|Palmer|Jakeem|Levi|M|19/90/31|L177767|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
8916C3B1-016C-4EF7-B2B4-4009DD51725B|B2733AB2-9CDB-4361-89C5-86B175A2E828|142|57348359-C425-4320-9BCE-AD95D4E9A228|Emery|Ethan|James|M|19/90/31|L177768|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
85A288CE-BE07-409C-8161-0BD6DB085680|B2733AB2-9CDB-4361-89C5-86B175A2E828|143|57348359-C425-4320-9BCE-AD95D4E9A228|Oliver|Carlos|Deacon|M|19/90/31|L177769|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
3A69656D-2F4F-45B3-98E6-2542366C910C|B2733AB2-9CDB-4361-89C5-86B175A2E828|144|57348359-C425-4320-9BCE-AD95D4E9A228|Gannon|Ross|Clarke|M|19/90/31|L177770|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
DAED9B26-87AD-41BD-8058-F1C98C9FAE70|B2733AB2-9CDB-4361-89C5-86B175A2E828|145|57348359-C425-4320-9BCE-AD95D4E9A228|Gray|Dante|Victor|M|19/90/31|L177771|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
E54B3CFA-E25F-434C-A572-FC08E230F298|B2733AB2-9CDB-4361-89C5-86B175A2E828|146|57348359-C425-4320-9BCE-AD95D4E9A228|Ryan|Xenos|Bevis|M|19/90/31|L177772|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
B9E7EE02-F6B5-4EBF-B2E1-2F441E0EA710|B2733AB2-9CDB-4361-89C5-86B175A2E828|147|57348359-C425-4320-9BCE-AD95D4E9A228|Rigel|Len|Hayes|M|19/90/31|L177773|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
99AC5A73-A3A2-4EEB-AC12-9624266122C2|B2733AB2-9CDB-4361-89C5-86B175A2E828|148|57348359-C425-4320-9BCE-AD95D4E9A228|Micah|Micah|Warren|M|19/90/31|L177774|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
3D9F61F5-A2ED-49E0-805C-BCE61533F9FC|B2733AB2-9CDB-4361-89C5-86B175A2E828|149|57348359-C425-4320-9BCE-AD95D4E9A228|Calvin|Hiram|Jameson|M|19/90/31|L177775|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
7DC52335-F35D-4C71-B1AB-5B15EEBB7A0F|B2733AB2-9CDB-4361-89C5-86B175A2E828|150|57348359-C425-4320-9BCE-AD95D4E9A228|Jordan|Wesley|Magee|M|19/90/31|L177776|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
D0EC9594-8CFA-48F6-80BD-7AF6CF435A5D|B2733AB2-9CDB-4361-89C5-86B175A2E828|151|57348359-C425-4320-9BCE-AD95D4E9A228|Mark|Herrod|Nathaniel|M|19/90/31|L177777|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
2AB0D593-B7AD-4B60-B0A8-A5416C29651D|B2733AB2-9CDB-4361-89C5-86B175A2E828|152|57348359-C425-4320-9BCE-AD95D4E9A228|Cullen|Stewart|Byron|M|19/90/31|L177778|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
41BDFC52-7941-434A-B783-BABAE7847000|B2733AB2-9CDB-4361-89C5-86B175A2E828|153|57348359-C425-4320-9BCE-AD95D4E9A228|Gregory|Derek|Bert|M|19/90/31|L177779|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
2DA46381-07FC-41A7-95E5-0DB3DF938742|B2733AB2-9CDB-4361-89C5-86B175A2E828|154|57348359-C425-4320-9BCE-AD95D4E9A228|Stephen|Orlando|Bradley|M|19/90/31|L177780|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
744D876A-03CA-4A46-B2E5-C7BF39F16338|B2733AB2-9CDB-4361-89C5-86B175A2E828|155|57348359-C425-4320-9BCE-AD95D4E9A228|Armand|Deacon|Samuel|M|19/90/31|L177781|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
604C70A8-0018-4127-A02E-D2DABA5689B8|B2733AB2-9CDB-4361-89C5-86B175A2E828|156|57348359-C425-4320-9BCE-AD95D4E9A228|Garrison|Paki|Alexander|M|19/90/31|L177782|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
19FF7382-77E0-4789-BBC2-3EE1261722C2|B2733AB2-9CDB-4361-89C5-86B175A2E828|157|57348359-C425-4320-9BCE-AD95D4E9A228|Callum|Dalton|Cooper|M|19/90/31|L177783|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
9273A280-8837-43E4-9D97-D38895C5BB92|B2733AB2-9CDB-4361-89C5-86B175A2E828|158|57348359-C425-4320-9BCE-AD95D4E9A228|Benjamin|Baxter|Elijah|M|19/90/31|L177784|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
EFE11479-B775-475F-9A01-0B2181856316|B2733AB2-9CDB-4361-89C5-86B175A2E828|159|57348359-C425-4320-9BCE-AD95D4E9A228|Blaze|Nissim|Barry|M|19/90/31|L177785|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
A1BA4181-BE72-4720-B39A-310FD87A2DEC|B2733AB2-9CDB-4361-89C5-86B175A2E828|160|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Jarrod|Ross|Murphy|M|19/90/31|L177786|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
3BF06943-D092-4D50-9DF5-091F34121D31|B2733AB2-9CDB-4361-89C5-86B175A2E828|161|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Dorian|Travis|Ryder|M|19/90/31|L177787|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
F14658EB-E6ED-4870-8D8F-B7AC92424633|B2733AB2-9CDB-4361-89C5-86B175A2E828|162|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Ivor|Hamilton|Ali|M|19/90/31|L177788|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
101925B7-82BB-4102-A070-79754D1506F4|B2733AB2-9CDB-4361-89C5-86B175A2E828|163|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Jelani|Carl|Armand|M|19/90/31|L177789|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
A5F14E04-77D2-4FA3-A99F-C94B1783191E|B2733AB2-9CDB-4361-89C5-86B175A2E828|164|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Hasad|Alexander|Richard|M|19/90/31|L177790|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
90D4C761-8204-4E41-86D4-CACB53C55A81|B2733AB2-9CDB-4361-89C5-86B175A2E828|165|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Eric|Tyrone|Cairo|M|19/90/31|L177791|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
F98246CB-8739-43A0-B828-CF8131192F59|B2733AB2-9CDB-4361-89C5-86B175A2E828|166|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Philip|Eagan|Dexter|M|19/90/31|L177792|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
2F57830C-EAAD-45AE-BF90-BAB96648FFA6|B2733AB2-9CDB-4361-89C5-86B175A2E828|167|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Matthew|Austin|Elton|M|19/90/31|L177793|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
F1C39052-E637-463D-AA4D-80231E3DE6A2|B2733AB2-9CDB-4361-89C5-86B175A2E828|168|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Oliver|William|Drew|M|19/90/31|L177794|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
D41E8777-9BD0-4A58-B1ED-A4130A84C334|B2733AB2-9CDB-4361-89C5-86B175A2E828|169|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Zachary|Colorado|Ira|M|19/90/31|L177795|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
AE08E55E-21B6-47F5-8BCC-5E48A8B3E618|B2733AB2-9CDB-4361-89C5-86B175A2E828|170|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Wylie|Rigel|Cole|M|19/90/31|L177796|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
4E7F14C7-CABD-43DE-B556-18D29A509C78|B2733AB2-9CDB-4361-89C5-86B175A2E828|171|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Vance|Thaddeus|Brenden|M|19/90/31|L177797|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
9C9D8931-F181-4857-A2C7-9DB0432AB26D|B2733AB2-9CDB-4361-89C5-86B175A2E828|172|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Dustin|Ira|Bevis|M|19/90/31|L177798|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
7617DDBB-2DF1-429B-B055-4D8F6F4E18DA|B2733AB2-9CDB-4361-89C5-86B175A2E828|173|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Kennedy|Emmanuel|Jonah|M|19/90/31|L177799|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
0EC63AB0-DF5B-4D08-BE9B-BA107C0E06CF|B2733AB2-9CDB-4361-89C5-86B175A2E828|174|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Colt|Bruno|Holmes|M|19/90/31|L177800|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Boarding|UPPER|2016-05-07 11:28:43.101+03
2F12FF48-4B64-446B-BFE8-65C6307C0C6E|B2733AB2-9CDB-4361-89C5-86B175A2E828|175|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Byron|Marvin|Connor|M|19/90/31|L177801|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
4FA4F404-FA48-4DA0-B4CC-F2BE57DE3FC2|B2733AB2-9CDB-4361-89C5-86B175A2E828|176|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Camden|Howard|Cyrus|M|19/90/31|L177802|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|LOWER|2016-05-07 11:28:43.101+03
BCF0757E-2770-403A-935A-41727EEF9862|B2733AB2-9CDB-4361-89C5-86B175A2E828|177|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Marsden|Oleg|Prescott|F|19/90/31|L177803|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|LOWER|2016-05-07 11:28:43.101+03
1852D4EB-6E28-40A5-9BEE-B88C969E709D|B2733AB2-9CDB-4361-89C5-86B175A2E828|178|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Cade|Giacomo|Quinn|F|19/90/31|L177804|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|LOWER|2016-05-07 11:28:43.101+03
493891B4-1B47-4EB2-AC63-B692FDC4C519|B2733AB2-9CDB-4361-89C5-86B175A2E828|179|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Dominic|Keefe|Gabriel|F|19/90/31|L177805|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|LOWER|2016-05-07 11:28:43.101+03
84B8977F-CB68-456E-AA15-1CEDA051D73C|B2733AB2-9CDB-4361-89C5-86B175A2E828|180|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Igor|Cain|Malachi|F|19/90/31|L177806|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|LOWER|2016-05-07 11:28:43.101+03
F605324B-B28D-4813-AD12-A7D6A1F42D93|B2733AB2-9CDB-4361-89C5-86B175A2E828|181|8D887AF8-F205-4B20-9FAF-580AC98ECE85|Howard|Addison|Samuel|F|19/90/31|L177807|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|LOWER|2016-05-07 11:28:43.101+03
